name,suburb,rating,review_count,price_level,cuisine,website,seifa_score,region,population,weekend_status,target_audience,price_score
Bar Italia,Leichhardt,4.3,2942,$,"meal_takeaway, store",https://www.baritalia.net.au/,1144,Inner West,15158,Weekend friendly,Tourist friendly,1
Moretti Italian Restaurant Leichhardt,Leichhardt,4.4,1348,$$,meal_takeaway,http://www.moretti.com.au/,1144,Inner West,15158,Weekend friendly,General locals,2
La Botte D'Oro Restaurant,Leichhardt,4.7,617,$$,,https://www.labottedoro.com.au/,1144,Inner West,15158,Weekend friendly,General locals,2
Grappa Ristorante e Bar,Leichhardt,4.6,1183,$$$,bar,http://www.grappa.com.au/,1144,Inner West,15158,Weekend friendly,General locals,3
The Barrel Room,Leichhardt,4.8,114,$$,bar,http://www.barrelroomleichhardt.com.au/,1144,Inner West,15158,Weekdays only,General locals,2
Aperitivo Pizza And Pasta Italian Restaurant In Leichhardt Sydney,Leichhardt,4.5,911,$$,"bar, grocery_or_supermarket, meal_delivery, meal_takeaway, store",https://aperitivopizzapasta.com.au/?utm_source=GBP&utm_medium=organic,1144,Inner West,15158,Weekend friendly,General locals,2
monté,Leichhardt,4.7,587,$$,,http://www.restaurantmonte.com.au/,1144,Inner West,15158,Weekdays only,General locals,2
Pan Roma Restaurant,Leichhardt,4.8,131,$$,,,1144,Inner West,15158,Weekdays only,General locals,2
The Grumpy Italian Leichhardt,Leichhardt,4.4,69,unknown,"meal_delivery, meal_takeaway",https://leichhardt.thegrumpyitalian.com.au/,1144,Inner West,15158,Weekend friendly,General locals,
La Bottega Leichhardt,Leichhardt,4.4,671,$$,"cafe, store",https://www.labottegacafe.com/,1144,Inner West,15158,Weekend friendly,General locals,2
Cafe Gioia Leichhardt,Leichhardt,4.1,794,$$,,https://www.gioiacafe.com/,1144,Inner West,15158,Weekend friendly,General locals,2
The Royal Leichhardt,Leichhardt,4.3,1398,$$,"bar, liquor_store, store",http://www.theroyalleichhardt.com.au/,1144,Inner West,15158,Weekend friendly,General locals,2
Il Cugino Pizzeria Leichhardt,Leichhardt,4.6,359,$,,http://restaurantwebexperts.com/IlCuginoPizzeria/,1144,Inner West,15158,Weekend friendly,Budget / community,1
Naughty Goat Café Restaurant,Leichhardt,4.2,235,unknown,,,1144,Inner West,15158,Weekend friendly,General locals,
Jasmin 1 Lebanese Cuisine Leichhardt,Leichhardt,4.3,1114,$$,,https://www.jasmin1lebanesecuisine.com.au/,1144,Inner West,15158,Weekend friendly,General locals,2
Organica - Cafe in Leichhardt,Leichhardt,4.2,233,unknown,"bakery, cafe, store",http://myorganica.com.au/,1144,Inner West,15158,Weekend friendly,General locals,
High N' Dry,Leichhardt,4.6,463,unknown,"bar, meal_takeaway",http://www.high-n-dry.com.au/,1144,Inner West,15158,Weekend friendly,General locals,
Versus Bar & Dining,Leichhardt,4.4,60,unknown,,https://www.versusbardining.com.au/?utm_source=google&utm_medium=organic&utm_campaign=google_business_profile,1144,Inner West,15158,Weekend friendly,General locals,
Kogi Kogi Korean BBQ & Bar,Leichhardt,4.8,153,unknown,,https://www.instagram.com/kogikogi.koreanbbq?igsh=aW12bGgzeGl0Ym1o,1144,Inner West,15158,Weekend friendly,General locals,
Spice Alley,Chippendale,4.4,4882,$,,http://spicealley.com.au/,1128,Inner South,7803,Weekend friendly,Tourist friendly,1
A Bowl Of Noodles - Chippendale,Chippendale,4.9,1184,unknown,,,1128,Inner South,7803,Weekend friendly,General locals,
Sneaky Possum,Chippendale,4.6,367,unknown,bar,http://sneakypossum.com/,1128,Inner South,7803,Weekdays only,General locals,
Gopinatha's,Chippendale,4.9,109,unknown,,http://www.gopinathas.com/,1128,Inner South,7803,Weekdays only,General locals,
Cartel,Chippendale,3.9,499,unknown,bar,http://www.cartelkensingtonstreet.com.au/,1128,Inner South,7803,Weekdays only,General locals,
La Terrazza Osteria Verde,Chippendale,4.3,66,unknown,,https://laterrazza.kensingtonstreet.com.au/,1128,Inner South,7803,Weekdays only,General locals,
Hongdae Pocha BBQ Sydney,Chippendale,4.7,201,unknown,,https://hongdaepocha.com.au/,1128,Inner South,7803,Weekend friendly,General locals,
KOI Dessert Bar,Chippendale,4.5,2835,$$,,http://cakes.koidessertbar.com.au/,1128,Inner South,7803,Weekend friendly,Tourist friendly,2
Andiamo Trattoria Chippendale,Chippendale,4.2,977,$$,"bar, meal_delivery, meal_takeaway",https://www.andiamotrattoria.com.au/,1128,Inner South,7803,Weekend friendly,General locals,2
FEWA KITCHEN,Chippendale,4.8,94,unknown,cafe,https://fewakitchen.wordpress.com/?_gl=1%2A1qf0lvs%2A_gcl_au%2AODkyNDQ1NzM0LjE3MzEzMDYxNTU,1128,Inner South,7803,Weekdays only,General locals,
The Green Room Broadway,Chippendale,4.6,87,unknown,,http://www.greenroombroadway.com/,1128,Inner South,7803,Weekend friendly,General locals,
Dizzybird | Sydney Rotisserie Chicken,Chippendale,4.3,55,unknown,,https://www.dizzybirdsydney.com/,1128,Inner South,7803,Weekend friendly,General locals,
Olio,Chippendale,4.2,1001,$$$,,http://olio.kensingtonstreet.com.au/,1128,Inner South,7803,Weekdays only,General locals,3
Eastside Bar & Grill,Chippendale,4.1,682,$$$,bar,https://eastsidebarandgrill.com.au/,1128,Inner South,7803,Weekdays only,General locals,3
Ester Restaurant,Chippendale,4.6,1612,$$$,,http://www.ester-restaurant.com.au/,1128,Inner South,7803,Weekend friendly,General locals,3
Gavroche Brasserie,Chippendale,4.2,842,$$,,http://gavroche.com.au/,1128,Inner South,7803,Weekend friendly,General locals,2
Chowon Wagyu Korean BBQ,Chippendale,4.7,442,unknown,,https://chowon.com.au/,1128,Inner South,7803,Weekend friendly,General locals,
The Spice Central,Chippendale,4.1,174,unknown,meal_takeaway,https://www.thespicecentral.com.au/,1128,Inner South,7803,Weekend friendly,General locals,
Nomu Bar Sydney,Chippendale,4.9,251,unknown,bar,https://nomubar.com.au/,1128,Inner South,7803,Weekdays only,General locals,
Sunny Seafood Central Park Mall偉洋海鮮酒樓,Chippendale,4.6,562,unknown,,https://sunnyseafoodrestaurant.com.au/,1128,Inner South,7803,Weekend friendly,General locals,
Mezepotamia,Redfern,4.8,485,unknown,bar,http://www.mezepotamia.com.au/,1085,Inner South,13072,Weekend friendly,General locals,
LOTTIE,Redfern,4.4,203,unknown,,https://www.liquidandlarder.com.au/venues/lottie/,1085,Inner South,13072,Weekend friendly,General locals,
